question,gold_answer,predicted_answer,retrieval_hit,exact_match,token_f1,top_passages,retrieved_chunks
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler,Adolf Hitler,True,True,1.0,20 July plot | 20 July plot | 20 July plot | 20 July plot | 20 July plot,"[1] 20 July plot
In late 1942, Tresckow and Olbricht formulated a plan to assassinate Hitler and stage an overthrow during Hitler's visit to the headquarters of Army Group Centre at Smolensk in March 1943, by placing a bomb on his plane (Operation Spark). The bomb failed to detonate, and a second attempt a week later with Hitler at an exhibition of captured Soviet weaponry in Berlin also failed. These failures demoralised the conspirators. During 1943 Tresckow tried without success to recruit senior army field commanders
---
[2] 20 July plot
On 20 July 1944, an attempt was made to assassinate Adolf Hitler, Führer of Nazi Germany, perpetrated by Claus von Stauffenberg and other conspirators, inside his Wolf's Lair field headquarters near Rastenburg, East Prussia. The name Operation Valkyrie, originally referring to a component part of the conspirators' overall plot, has become associated with the event. The apparent purpose of the assassination attempt was to seize political control of Germany and its armed forces from the Nazi Party (including
---
[3] 20 July plot
Previous failed attempts

During 1943 and early 1944 von Tresckow and von Stauffenberg organised at least four attempts to get one of the military conspirators near enough to Hitler, for long enough to kill him with hand grenades, bombs, or a revolver:

* in March 1943 by Rudolf Christoph Freiherr von Gersdorff
* in late November 1943 by Axel Freiherr von dem Bussche-Streithorst
* in February 1944 by Ewald-Heinrich von Kleist-Schmenzin
* on 11 March 1944 by Eberhard Freiherr von Breitenbuch
---
[4] 20 July plot
What is not debated to the results of the failed bomb plot of 20 July. Many conspirators were arrested and the dragnet expanded to thousands. Consequently, it did not take long for Rommel to come under suspicion. He was primarily implicated through his connection to Kluge. Rommel's name also came up in forced confessions by Stülpnagel and Hofacker, and was included in Goerdeler's papers on a list of potential supporters.
---
[5] 20 July plot
15 July 1944: Aborted attempt"
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx,Richard Marx,True,True,1.0,Hold On to the Nights | Hold On to the Nights | Diana Ross | Diana Ross | Diana Ross,"[1] Hold On to the Nights
Written by Richard Marx, ""Hold On to the Nights"" reached the Billboard Hot 100 number 1 position on July 23, 1988, preventing Def Leppard's ""Pour Some Sugar On Me"" from reaching the top spot that same week. The song was on the chart for twenty-one weeks, and left the chart at number 65. From Marx' debut 1987 album, Richard Marx, the song also reached number three on the Billboard Adult Contemporary chart. ""Hold On to the Nights"" has been re-released numerous albums  and is included on Marx's live
---
[2] Hold On to the Nights
""Hold On to the Nights"" is a power ballad and number-one hit for American rock singer/songwriter/musician Richard Marx.  This was the fourth and final single released from his self-titled debut album, and the first to reach the top of the Billboard Hot 100 chart.
---
[3] Diana Ross
""Brand New Day"", found some success overseas. Ross scored a Top 10 hit in late 1980 with the theme song to the 1980 film It's My Turn. The following year, she collaborated with former Commodores singer-songwriter Lionel Richie on the theme song for the film Endless Love. The Academy Award-nominated title single became her final hit on Motown Records, and the number-one record of the year. Several years later, in 1988, Ross recorded the theme song to The Land Before Time. ""If We Hold on Together"" became an
---
[4] Diana Ross
Going To)"". Her 1976 album Diana Ross included her fourth number-one hit ""Love Hangover"". In 1979, Ross released the album The Boss. Her 1980 album Diana which reached number 2 on the Billboard albums chart and spawned the number-one hit ""Upside Down"" and the international hit ""I'm Coming Out"". After leaving Motown, Ross achieved her sixth and final number-one hit with the duet ""Endless Love"".
---
[5] Diana Ross
In 1980, Ross released her most successful album to date, diana. Composed by Chic's Nile Rodgers and Bernard Edwards, the album included the hits ""I'm Coming Out"" and ""Upside Down"", the latter becoming her fifth chart-topping single. Prior to leaving Motown, Ross recorded the duet ballad ""Endless Love"", with Lionel Richie. The song would become her sixth and final single to reach number one on the Billboard Hot 100."
Who directed the classic 30s western Stagecoach?,John Ford,John Ford,True,True,1.0,Stagecoach (1939 film) | Stagecoach (1939 film) | Stagecoach (1939 film) | Stagecoach (1939 film) | Stagecoach (1939 film),"[1] Stagecoach (1939 film)
Stagecoach is a 1939 American Western film directed by John Ford, starring Claire Trevor and John Wayne in his breakthrough role. The screenplay, written by Dudley Nichols, is an adaptation of ""The Stage to Lordsburg"", a 1937 short story by Ernest Haycox. The film follows a group of strangers riding on a stagecoach through dangerous Apache territory.
---
[2] Stagecoach (1939 film)
Stagecoach was the first of many Westerns that Ford shot using Monument Valley, in the American south-west on the Arizona–Utah border, as a location, many of which also starred John Wayne. Scenes from Stagecoach, including a famous sequence introducing John Wayne's character the Ringo Kid, blended shots of Monument Valley with shots filmed on the Iverson Movie Ranch in Chatsworth, California, and other locations.
---
[3] Stagecoach (1939 film)
Others

* John Ford won the 1939 New York Film Critics Circle Awards for Best Director. Other critics gave the film uniformly glowing reviews. 
* In June 2008, the American Film Institute revealed its ""Ten Top Ten""—the best ten films in ten ""classic"" American film genres—after polling over 1,500 people from the creative community. Stagecoach was acknowledged as the ninth best film in the western genre.  

Re-releases and restoration
---
[4] Stagecoach (1939 film)
* The 1966 remake of Stagecoach starred (in alphabetical order) Ann-Margret, Red Buttons, Mike Connors, Alex Cord, Bing Crosby, Robert Cummings, Van Heflin, Slim Pickens, and Stefanie Powers.
* A 1986 television version featured Willie Nelson, Kris Kristofferson, Johnny Cash, and Waylon Jennings.
---
[5] Stagecoach (1939 film)
directed a western since the silent days, the most notable of which had been The Iron Horse (1924). Wanger said he would not risk his money unless Ford replaced John Wayne with Gary Cooper and brought in Marlene Dietrich to play Dallas."
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd,Pink Floyd,True,True,1.0,Roger Waters | Roger Waters | Roger Waters | Roger Waters | Roger Waters,"[1] Roger Waters
George Roger Waters (born 6 September 1943) is an English singer, songwriter, multi-instrumentalist, and composer. In 1965, he co-founded the progressive rock band Pink Floyd with drummer Nick Mason, keyboardist Rick Wright and guitarist, singer, and songwriter Syd Barrett. Waters initially served as the group's bassist, but following the departure of Barrett in 1968, he also became their lyricist, conceptual leader and co-lead vocalist. Waters had the 9th widest vocal range on a list of over 150
---
[2] Roger Waters
in three acts translated from Étienne and Nadine Roda-Gils' libretto about the French Revolution. Later that year, he reunited with Pink Floyd bandmates Mason, Wright and David Gilmour for the Live 8 global awareness event; it was the group's first appearance with Waters since 1981. He has toured extensively as a solo act since 1999 and played The Dark Side of the Moon in its entirety for his world tour of 2006–2008. In 2010, he began The Wall Live and in 2011 Gilmour and Mason appeared with him during a
---
[3] Roger Waters
Press that while the experience of playing with Pink Floyd again was positive, the chances of a bona fide reunion would be ""slight"" considering his and Gilmour's continuing musical and ideological differences. Though Waters had differing ideas about which songs they should play, he ""agreed to roll over for one night only"", Gilmour told the Associated Press, ""The rehearsals convinced me it wasn't something I wanted to be doing a lot of. There have been all sorts of farewell moments in people's lives and
---
[4] Roger Waters
In March 1983, the last Waters–Gilmour–Mason collaboration, The Final Cut, was released. The album was subtitled: ""A requiem for the post-war dream by Roger Waters, performed by Pink Floyd"". Waters wrote all the album's lyrics as well as the music. His lyrics were critical of the Conservative Party government of the day and mention Prime Minister Margaret Thatcher by name. At the time Gilmour did not have any new material, so he asked Waters to delay the recording until he could write some songs, but
---
[5] Roger Waters
to delay the recording until he could write some songs, but Waters refused. According to Mason, after power struggles within the band and creative arguments about the album, Gilmour's name ""disappeared"" from the production credits, though he retained his pay. Rolling Stone magazine gave the album five stars, with Kurt Loder describing it as ""a superlative achievement"" and ""art rock's crowning masterpiece"".  Loder viewed the work as ""essentially a Roger Waters solo album""."
Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Highway 61,True,False,0.6667,Bob Dylan | Bob Dylan | Jimi Hendrix | Bob Dylan | Bob Dylan,"[1] Bob Dylan
""The 500 Greatest Songs of All Time"".  The song opened Dylan's next album, Highway 61 Revisited,  named after the road that led from Dylan's Minnesota to the musical hotbed of New Orleans.  The songs were in the same vein as the hit single, flavored by Mike Bloomfield's blues guitar and Al Kooper's organ riffs. ""Desolation Row"", backed by acoustic guitar and understated bass,  offers the sole exception, with Dylan alluding to figures in Western culture in a song described by Andy Gill as ""an 11-minute epic
---
[2] Bob Dylan
Highway 61 Revisited and Blonde on Blonde
---
[3] Jimi Hendrix
and the influence of Bob Dylan can be heard in Hendrix's songwriting; he was known to play Dylan's records repeatedly, particularly Highway 61 Revisited and Blonde on Blonde.
---
[4] Bob Dylan
*Bob Dylan (1962)
*The Freewheelin' Bob Dylan (1963)
*The Times They Are a-Changin' (1964)
*Another Side of Bob Dylan (1964)
*Bringing It All Back Home (1965)
*Highway 61 Revisited (1965)
*Blonde on Blonde (1966)
*John Wesley Harding (1967)
*Nashville Skyline (1969)
*Self Portrait (1970)
*New Morning (1970)
*Pat Garrett & Billy the Kid (1973)
*Dylan (1973)
*Planet Waves (1974)
*Blood on the Tracks (1975)
*The Basement Tapes (1975)
*Desire (1976)
*Street Legal (1978)
*Slow Train Coming (1979)
*Saved (1980)
---
[5] Bob Dylan
reviewer commented that ""the record follows too many detours to be consistently compelling, and some of those detours wind down roads that are indisputably dead ends. By 1986, such uneven records weren't entirely unexpected by Dylan, but that didn't make them any less frustrating.""  It was the first Dylan album since Freewheelin' (1963) to fail to make the Top 50.  Since then, some critics have called the 11-minute epic that Dylan co-wrote with Sam Shepard, ""Brownsville Girl"", a work of genius."
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Rumania,Romania,True,True,1.0,1984 Summer Olympics | 1984 Summer Olympics boycott | 1984 Summer Olympics | 1984 Summer Olympics boycott | 1984 Summer Olympics boycott,"[1] 1984 Summer Olympics
The Soviet Union led the Warsaw Pact and other Communist and Socialist countries on a boycott of the 1984 Summer Olympics, in retaliation for the U.S.-led boycott of the 1980 Summer Olympics in Moscow over the Soviet Union's invasion of Afghanistan in 1979. However, a handful of Socialist countries disregarded the boycott and attended anyway. Among them were Yugoslavia (which hosted the 1984 Winter Olympics), the People's Republic of China, and Romania. The fact that Romania, a Warsaw Pact country, opted
---
[2] 1984 Summer Olympics boycott
GooglePM VIETNAM AND MONGOLIA ALSO WITHDRAW FROM OLYMPICS]. Philadelphia Inquirer. May 12, 1984 – A07 NATIONAL.  “Two more Communist countries dropped out of the 1984 Los Angeles Olympics yesterday, but the head of the International Olympic Committee promised to “fight to the last minute” to bring the Soviet Union and its allies to the Games.” and Laos and Czechoslovakia (both May 13). China formally confirmed that it would be present at the games in Los Angeles, while the Laotians and Czechoslovaks
---
[3] 1984 Summer Olympics
In response to the American-led boycott of the 1980 Summer Olympics in Moscow, 14 Eastern Bloc countries, including the Soviet Union, Cuba and East Germany, boycotted the Games; only Romania elected to attend. For differing reasons, Iran and Libya also boycotted. The USSR announced its intention not to participate on May 8, 1984, citing security concerns and ""chauvinistic sentiments and an anti-Soviet hysteria being whipped up in the United States.""  Boycotting countries organized another large event in
---
[4] 1984 Summer Olympics boycott
The boycott of the 1984 Summer Olympics in Los Angeles was after the U.S.-led boycott of the 1980 Summer Olympics in Moscow. The boycott involved 14 Eastern Bloc countries and allies, led by the Soviet Union, which initiated the boycott on May 8, 1984. The boycott affected a large number of Olympic events that were normally dominated by the absent countries. Boycotting countries organized another major event, called the Friendship Games, in July and August 1984.

Announcement of boycott
---
[5] 1984 Summer Olympics boycott
Later, Afghanistan also decided to boycott the event, becoming the eighth country to boycott the 1984 Summer Olympics.  Even later, Hungary (May 16) and Poland (May 17) became the ninth and tenth Marxist countries to join the boycott. Hungary claimed the lives of its athletes would be put in danger if they were to spend time in Los Angeles. On the other hand, Poland said that the United States was engaging in a “campaign aimed at disturbing the Games”."
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms,Wild Palms,False,True,1.0,Jim Belushi | Jim Belushi | Wild Palms | Bruce Wagner | Jim Belushi,"[1] Jim Belushi
James Adam ""Jim"" Belushi (born June 15, 1954) is an American actor, comedian and musician. He is the younger brother of comic actor John Belushi and father of actor Robert Belushi, best known for playing the role of James ""Jim"" Orenthal on the long-running sitcom According to Jim (2001-2009).
---
[2] Jim Belushi
Gazelle"". On January 4, 2001, Belushi appeared on the ER episode ""Piece of Mind"". The episode focused on both Dr. Mark Greene's life-or-death brain surgery in New York and Belushi's character, who had been in a car accident with his son in Chicago. Belushi's performance contributed to his re-emergence in the public eye, and the following year he was cast as the title role in ABC's According to Jim. His first animation voice-over was as a pimple on Krum's head in Aaahh!!! Real Monsters on Nickelodeon. That
---
[3] Wild Palms
Wagner, who also wrote the screenplay, served as executive producer together with Oliver Stone. The series stars James Belushi, Dana Delany, Robert Loggia, Kim Cattrall, David Warner, and Angie Dickinson. The episodes were directed by Kathryn Bigelow, Keith Gordon, Peter Hewitt and Phil Joanou.
---
[4] Bruce Wagner
Bruce Alan Wagner (born March 22, 1954) is an American novelist and screenwriter based in Los Angeles known for his apocalyptic yet ultimately spiritual view of humanity as seen through the lens of the Hollywood entertainment industry.

Early life
---
[5] Jim Belushi
From 1977 to 1980, Belushi, like his older brother John Belushi, worked with the Chicago theater group The Second City. During this period, Belushi made his television debut in 1978's Who's Watching the Kids and also had a small part in Brian De Palma's The Fury. His first significant role was in Michael Mann's Thief (1981). After his elder brother John's death, from 1983 to 1985 he appeared on Saturday Night Live; he portrayed characters such as Hank Rippy from ""Hello, Trudy!"" and ""That White Guy""."
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,Fiddler on the Roof,True,True,1.0,If I Were a Rich Man (song) | If I Were a Rich Man (song) | If I Were a Rich Man (song) | If I Were a Rich Man (song) | If I Were a Rich Man (song),"[1] If I Were a Rich Man (song)
""If I Were a Rich Man"" is a popular song from the 1964 musical Fiddler on the Roof. It was written by Sheldon Harnick and Jerry Bock. The song is performed by Tevye, the main character in the musical, and reflects his dreams of glory.
---
[2] If I Were a Rich Man (song)
Lyrics are as follows:
""Dear God, you made many, many poor people.
I realize, of course, that it's no shame to be poor.
But it's no great honor either!
So, what would have been so terrible if I had a small fortune?""

If I were a rich man,
Yubby dibby dibby dibby dibby dibby dibby dum.
All day long I'd biddy biddy bum.
If I were a wealthy man.
I wouldn't have to work hard.
Ya ha deedle deedle, bubba bubba deedle deedle dum.
If I were a biddy biddy rich,
Idle-diddle-daidle-daidle man.
---
[3] If I Were a Rich Man (song)
If I were a rich man,
Yubby dibby dibby dibby dibby dibby dibby dum.
All day long I'd biddy biddy bum.
If I were a wealthy man.
I wouldn't have to work hard.
Yubby dibby dibby dibby dibby dibby dibby dum.
If I were a biddy biddy rich,
Idle-diddle-daidle-daidle man.
---
[4] If I Were a Rich Man (song)
If I were a rich man,
Yubby dibby dibby dibby dibby dibby dibby dum.
All day long I'd biddy biddy bum.
If I were a wealthy man.
I wouldn't have to work hard.
Idle-diddle-daidle-daidle man.

Lord who made the lion and the lamb,
You decreed I should be what I am.
Would it spoil some vast eternal plan?
If I were a wealthy man.
Cover versions and translations
---
[5] If I Were a Rich Man (song)
Grammar Devotional likens the phrase ""if I were a rich man"" to the Cowardly Lion's ""if I were king of the forest"" in The Wizard of Oz in the context of imagining a scenario.  The song is inspired by a Hasidic folk song."
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny On The Bounty,"Mutiny on the ""Bounty""",True,True,1.0,Men Against the Sea | Pitcairn's Island (novel) | Men Against the Sea | Men Against the Sea | Pitcairn's Island (novel),"[1] Men Against the Sea
Men Against the Sea is the second installment in the trilogy by Charles Nordhoff and James Norman Hall about the mutiny aboard HMS Bounty.  It is preceded by Mutiny on the ""Bounty"" and followed by Pitcairn's Island.  The novel first appeared in serial form in The Saturday Evening Post (November 18, 1933 through December 9, 1933) hence the copyright date of 1933, and it was first printed in hardcover in January 1934 by Little, Brown and Company.

Plot summary
---
[2] Pitcairn's Island (novel)
Pitcairn's Island is the third installment in the fictional trilogy by Charles Nordhoff and James Norman Hall about the mutiny aboard HMS Bounty.  It is preceded by Mutiny on the ""Bounty"" and Men Against the Sea. The novel first appeared in The Saturday Evening Post (from September 22, 1934 through November 3, 1934) then was published in 1934 by Little, Brown and Company. Chapters I–XV are told in the third person, and Chapters XVI–XXI are told in the first person by John Adams.  The epilogue that follows
---
[3] Men Against the Sea
Plot summary 

Men Against the Sea follows the journey of Lieutenant William Bligh and the eighteen men set adrift in an open boat by the mutineers of the Bounty.  The story is told from the perspective of Thomas Ledward, the Bounty's acting surgeon, who went into the ship's launch with Bligh.  It begins after the main events described in the novel and then moves into a flashback, finishing at the starting point.

Principal characters
---
[4] Men Against the Sea
Principal characters 

* Lieutenant William Bligh, Acting Captain
* John Fryer, Sailing Master
* Thomas Ledward, Acting Surgeon
* David Nelson, Botanist
* William Cole, Boatswain
* William Elphinstone, Master's Mate
* William Purcell, Carpenter

External Sources 

* [http://gutenberg.net.au/ebooks08/0800411h.html Men Against the Sea], Project Gutenberg
---
[5] Pitcairn's Island (novel)
After two unsuccessful attempts to settle on the island of Tubuai, the Bounty mutineers returned to Tahiti where they parted company. Fletcher Christian and eight of his men, together with eighteen Polynesians, sailed from Tahiti in September 1789, and for a period of eighteen years nothing was heard of them. Then, in 1808, the American sailing vessel Topaz discovered a thriving community of mixed blood on Pitcairn Island under the rule of ""Alexander Smith"" (the assumed name of John Adams, the only"
What was Truman Capote's last name before he was adopted by his stepfather?,Persons,Persons,True,True,1.0,Truman Capote | Truman Capote | Truman Capote | Truman Capote | Truman Capote,"[1] Truman Capote
In 1933, he moved to New York City to live with his mother and her second husband, Joseph Capote, a Cuban-born textile broker, who adopted him as his stepson and renamed him Truman García Capote. However, Joseph was convicted of embezzlement and shortly afterwards, when his income crashed, the family was forced to leave Park Avenue.
---
[2] Truman Capote
Born in New Orleans, Louisiana, Capote was the son of 17-year-old Lillie Mae Faulk and salesman Archulus Persons. His parents divorced when he was four, and he was sent to Monroeville, Alabama, where, for the following four to five years, he was raised by his mother's relatives. He formed a fast bond with his mother's distant relative, Nanny Rumbley Faulk, whom Truman called ""Sook"". ""Her face is remarkable – not unlike Lincoln's, craggy like that, and tinted by sun and wind"", is how Capote described Sook
---
[3] Truman Capote
Truman Garcia Capote  (; born Truman Streckfus Persons, September 30, 1924 – June 27, 1984) was an American novelist, screenwriter, playwright, and actor, many of whose short stories, novels, plays, and nonfiction are recognized literary classics, including the novella Breakfast at Tiffany's (1958) and the true crime novel In Cold Blood (1966), which he labeled a ""nonfiction novel"". At least 20 films and television dramas have been produced of Capote novels, stories, and plays.
---
[4] Truman Capote
As a lonely child, Capote taught himself to read and write before he entered his first year of school.  Capote was often seen at age five carrying his dictionary and notepad, and began writing fiction at the age of 11.  He was given the nickname ""Bulldog"" around this age.
---
[5] Truman Capote
Capote rose above a childhood troubled by divorce, a long absence from his mother, and multiple migrations. He had discovered his calling as a writer by the age of 11, and for the rest of his childhood he honed his writing ability. Capote began his professional career writing short stories. The critical success of one story, ""Miriam"" (1945), attracted the attention of Random House publisher Bennett Cerf, and resulted in a contract to write the novel Other Voices, Other Rooms (1948). Capote earned the most"
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A boojum,Boojum,True,True,1.0,The Hunting of the Snark | The Hunting of the Snark | The Hunting of the Snark | The Hunting of the Snark | The Hunting of the Snark,"[1] The Hunting of the Snark
The Hunting of the Snark (An Agony in 8 Fits) is typically categorized as a nonsense poem written by Lewis Carroll, the pen name of Charles Lutwidge Dodgson. Written from 1874 to 1876, the poem borrows the setting, some creatures, and eight portmanteau words from Carroll's earlier poem ""Jabberwocky"" in his children's novel Through the Looking Glass (1871).

Henry Holiday, the illustrator of the poem, thought of it as a ""tragedy"".
---
[2] The Hunting of the Snark
The Hunting of the Snark shares its fictional setting with Lewis Carroll's earlier poem ""Jabberwocky"" published in his children's novel Through the Looking-Glass (1871). Eight nonsense words from ""Jabberwocky"" appear in The Hunting of the Snark:  bandersnatch, beamish, frumious, galumphing, jubjub, mimsiest (which previously appeared as mimsy in ""Jabberwocky""), outgrabe and uffish. In a letter to the mother of his young friend Gertrude Chataway, Carroll described the domain of the Snark as ""an island
---
[3] The Hunting of the Snark
During the hunt, the Banker finds himself attacked by a bandersnatch, and loses his sanity after trying to bribe the creature. At the conclusion of the poem, the Baker calls out that he has found a snark, but when the others arrive, he has mysteriously disappeared, leading the narrator to explain: ""For the Snark was a Boojum, you see.""

Development
---
[4] The Hunting of the Snark
the repression of Carroll's sexuality, and a piece against vivisection, among others. According to Cohen, the poem represents a ""voyage of life"", with the Baker's disappearance caused by his violation of the laws of nature by hoping to unravel its mysteries. Lennon sees The Hunting of the Snark as ""a tragedy of frustration and bafflement,"" comparable to British actor Charlie Chaplin's early comedies. According to Kelly, The Hunting of the Snark is ""Carroll's comic rendition of his fears of disorder and
---
[5] The Hunting of the Snark
""The Hunting of the Snark"" has in common some elements with Carroll's other works. It shares its author's love of puns on the word 'fit' with Alice's Adventures in Wonderland, and mentions of ""candle-ends"" and ""toasted cheese"" with his supernatural poem Phantasmagoria. Additionally all three works include the number ""42"". Another of Carroll's children's novels, Sylvie and Bruno Concluded (1893) makes a reference to the Boojum."
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,Dangerous Minds,True,True,1.0,Gangsta's Paradise | Coolio | Coolio | Coolio | Dangerous Minds,"[1] Gangsta's Paradise
""Gangsta's Paradise"" is a song by American rapper Coolio, featuring singer L.V.. The song was released on Coolio's album of the same name, as well as the soundtrack for the 1995 film Dangerous Minds. It samples the chorus and instrumentation of Stevie Wonder's 1976 song ""Pastime Paradise"".
---
[2] Coolio
Originally ""Gangsta's Paradise"" was not meant to be included on one of Coolio's studio albums, but its success led to Coolio not only putting it on his next album, but also making it the title track. The title track sampled the chorus and music of the song ""Pastime Paradise"" by Stevie Wonder, which was recorded nearly 20 years earlier on Stevie Wonder's album Songs in the Key of Life. The album Gangsta's Paradise was released in 1995 and was certified 2X Platinum by the RIAA. The album contained two other
---
[3] Coolio
In 1995, Coolio made a song featuring R&B singer LV for the movie Dangerous Minds, titled ""Gangsta's Paradise"". It would become one of the most successful rap songs of all time, reaching #1 on the Billboard Hot 100 for 3 weeks. It was the #1 single of 1995 for all genres, and was a global hit, as it reached #1 in the United States, United Kingdom, Ireland, France, Germany, Italy, Sweden, Austria, Netherlands, Norway, Switzerland, Australia, and New Zealand. The song also created a controversy when Coolio
---
[4] Coolio
Artis Leon Ivey Jr. (born August 1, 1963), known professionally as Coolio, is an American musician, rapper, chef, actor, and record producer. Coolio achieved mainstream success in the mid to late 1990s with his albums It Takes a Thief (1994), Gangsta's Paradise (1995), and My Soul (1997). He is best known for his 1995 Grammy Award-winning hit single ""Gangsta's Paradise"", as well as other singles ""Fantastic Voyage"" (1994), ""C U When U Get There"" (1997) and ""1, 2, 3, 4 (Sumpin' New)"" (1996). He was also known
---
[5] Dangerous Minds
At the MTV Movie Awards 1996, Dangerous Minds was nominated in four categories: Best Movie, Best Female Performance (Michelle Pfeiffer), Most Desirable Female (Michelle Pfeiffer) and Best Movie Song (Coolio).

The music video for 'Gangsta's Paradise', featuring Michelle Pfeiffer, won the MTV Music Video Award for Best Rap Video and the MTV Music Video Award for Best Video from a Film.

Michelle Pfeiffer won the Blockbuster Entertainment Award for Favorite Actress - Drama."
What was President Gerald Ford's middle name?,Rudolph,Rudolph,True,True,1.0,Gerald Ford | Gerald Ford | Gerald Ford | Gerald Ford | Gerald Ford,"[1] Gerald Ford
After two and a half years with her parents, on February 1, 1916, Dorothy married Gerald Rudolff Ford, a salesman in a family-owned paint and varnish company. They then called her son Gerald Rudolff Ford Jr. The future president was never formally adopted, and did not legally change his name until December 3, 1935; he also used a more conventional spelling of his middle name.  He was raised in Grand Rapids with his three half-brothers from his mother's second marriage: Thomas Gardner ""Tom"" Ford
---
[2] Gerald Ford
Gerald Rudolph Ford Jr. (born Leslie Lynch King Jr.; July 14, 1913 – December 26, 2006) was an American politician who served as the 38th President of the United States from 1974 to 1977. Prior to this he was the 40th Vice President of the United States, serving from 1973 until President Richard Nixon's resignation in 1974. He was the first person appointed to the vice presidency under the terms of the 25th Amendment, following the resignation of Vice President Spiro Agnew on October 10, 1973. Becoming
---
[3] Gerald Ford
Gerald Rudolph Ford was born Leslie Lynch King Jr., on July 14, 1913, at 3202 Woolworth Avenue in Omaha, Nebraska, where his parents lived with his paternal grandparents. His mother was Dorothy Ayer Gardner, and his father was Leslie Lynch King Sr., a wool trader and a son of prominent banker Charles Henry King and Martha Alicia King (née Porter). Dorothy separated from King just sixteen days after her son's birth. She took her son with her to the Oak Park, Illinois, home of her sister Tannisse and
---
[4] Gerald Ford
In the months following the pardon, Ford often declined to mention President Nixon by name, referring to him in public as ""my predecessor"" or ""the former president."" When, on a 1974 trip to California, White House correspondent Fred Barnes pressed Ford on the matter, Ford replied in surprisingly frank manner: ""I just can’t bring myself to do it.”
---
[5] Gerald Ford
pardon to President Richard Nixon for his role in the Watergate scandal. During Ford's presidency, foreign policy was characterized in procedural terms by the increased role Congress began to play, and by the corresponding curb on the powers of the President.  In the GOP presidential primary campaign of 1976, Ford defeated then-former California Governor Ronald Reagan for the Republican nomination. He narrowly lost the presidential election to the  Democratic challenger, then-former Georgia Governor Jimmy"
Art Garfunkel trained for which profession although he didn't qualify?,Architect,mathematics education,True,False,0.0,Art Garfunkel | Art Garfunkel | Art Garfunkel | Art Garfunkel | Art Garfunkel,"[1] Art Garfunkel
Arthur Ira ""Art"" Garfunkel (born November 5, 1941) is an American singer, poet and actor. He partnered in his earlier years with Paul Simon in the folk rock duo Simon & Garfunkel.
---
[2] Art Garfunkel
a B.A. in art history in 1962  or 1965,  followed by a M.A. in mathematics from Columbia in 1967. Garfunkel also completed coursework toward a doctorate in mathematics education at Teachers College, Columbia University during the peak of Simon & Garfunkel's commercial success.
---
[3] Art Garfunkel
he liked to track, or ""graph"" hits, on the pop charts.  He also released some singles as a solo artist under the name Artie Garr, a shortened version of his name. In interviews, Garfunkel has noted how these early singles distinguished him as a folk-styled crooner,  with songs like ""Beat Love"" and ""Dream Alone"" (both released 1959).
---
[4] Art Garfunkel
At his Bar Mitzvah in 1954, Garfunkel sang as a cantor and performed over four hours of his repertoire for his family.  As a young teen, Garfunkel was struck with a lung infection, leading to a love for basketball. He explained in a 1998 Interview: ""In the summer of '55, I had a lung infection. I couldn't run around, but I loved basketball and there was a hoop nearby. Much of the summer I spent methodically hitting 96, 98 foul shots out of 100. Then 102! I never played on a team after Junior High School.
---
[5] Art Garfunkel
After graduating from Forest Hills High School alongside Simon, Garfunkel studied at Columbia College, Columbia University in Manhattan in the early 1960s, where he was a brother in the Alpha Epsilon Pi fraternity.  Garfunkel was a team member in tennis, skiing, fencing, and bowling at the college. He was also a member of the all-male a cappella group on campus, the Columbia Kingsmen.  After initially majoring in architecture, Garfunkel earned a B.A. in art history in 1962  or 1965,  followed by a M.A. in"
